Wavelength (nm)	Cross section (cm2)
2.5911e+02	1.7680e-20
2.5923e+02	1.4644e-20
2.5934e+02	1.8924e-20
2.5945e+02	1.6600e-20
2.5957e+02	1.8784e-20
2.5968e+02	2.1732e-20
2.5980e+02	1.9300e-20
2.5991e+02	1.7920e-20
2.6002e+02	1.8696e-20
2.6014e+02	1.7328e-20
2.6025e+02	1.9000e-20
2.6036e+02	1.4688e-20
2.6048e+02	1.5108e-20
2.6059e+02	1.5804e-20
2.6070e+02	1.6660e-20
2.6082e+02	1.8332e-20
2.6093e+02	1.8024e-20
2.6104e+02	1.6048e-20
2.6116e+02	1.4964e-20
2.6127e+02	1.4292e-20
2.6138e+02	1.5476e-20
2.6150e+02	1.9700e-20
2.6161e+02	1.6092e-20
2.6172e+02	1.4764e-20
2.6184e+02	1.8532e-20
2.6195e+02	2.0340e-20
2.6206e+02	1.9252e-20
2.6218e+02	1.8692e-20
2.6229e+02	1.9828e-20
2.6240e+02	1.9420e-20
2.6252e+02	1.7420e-20
2.6263e+02	2.1020e-20
2.6274e+02	1.7060e-20
2.6286e+02	1.9692e-20
2.6297e+02	2.1772e-20
2.6308e+02	2.3516e-20
2.6320e+02	2.3720e-20
2.6331e+02	2.2008e-20
2.6342e+02	1.9816e-20
2.6354e+02	1.9208e-20
2.6365e+02	1.9900e-20
2.6376e+02	1.7644e-20
2.6388e+02	1.9360e-20
2.6399e+02	2.0680e-20
2.6410e+02	2.1120e-20
2.6422e+02	1.8920e-20
2.6433e+02	2.1784e-20
2.6444e+02	2.0888e-20
2.6456e+02	2.1800e-20
2.6467e+02	2.4620e-20
2.6478e+02	2.2868e-20
2.6490e+02	2.2820e-20
2.6501e+02	2.0828e-20
2.6512e+02	2.4436e-20
2.6524e+02	2.6624e-20
2.6535e+02	2.5040e-20
2.6546e+02	2.4804e-20
2.6557e+02	2.3444e-20
2.6569e+02	2.2872e-20
2.6580e+02	2.3120e-20
2.6591e+02	2.3008e-20
2.6603e+02	2.3272e-20
2.6614e+02	2.1240e-20
2.6625e+02	1.8600e-20
2.6637e+02	2.0712e-20
2.6648e+02	2.2060e-20
2.6659e+02	2.0428e-20
2.6671e+02	2.1196e-20
2.6682e+02	2.4028e-20
2.6693e+02	2.5040e-20
2.6704e+02	2.4552e-20
2.6716e+02	2.5188e-20
2.6727e+02	2.5380e-20
2.6738e+02	2.7752e-20
2.6750e+02	2.4200e-20
2.6761e+02	2.3848e-20
2.6772e+02	2.4940e-20
2.6783e+02	2.5044e-20
2.6795e+02	2.4240e-20
2.6806e+02	2.3608e-20
2.6817e+02	2.4480e-20
2.6829e+02	2.6880e-20
2.6840e+02	2.7900e-20
2.6851e+02	2.7900e-20
2.6863e+02	2.7928e-20
2.6874e+02	2.8544e-20
2.6885e+02	2.7160e-20
2.6896e+02	2.7548e-20
2.6908e+02	3.0012e-20
2.6919e+02	3.0628e-20
2.6930e+02	2.9980e-20
2.6942e+02	2.9368e-20
2.6953e+02	2.8888e-20
2.6964e+02	2.9704e-20
2.6975e+02	2.9000e-20
2.6987e+02	3.0440e-20
2.6998e+02	3.1088e-20
2.7009e+02	3.1200e-20
2.7020e+02	3.0360e-20
2.7032e+02	3.0808e-20
2.7043e+02	3.0808e-20
2.7054e+02	3.0024e-20
2.7066e+02	3.0304e-20
2.7077e+02	2.9384e-20
2.7088e+02	2.7332e-20
2.7099e+02	3.0236e-20
2.7111e+02	3.1468e-20
2.7122e+02	3.1296e-20
2.7133e+02	2.9344e-20
2.7144e+02	2.8300e-20
2.7156e+02	2.8636e-20
2.7167e+02	2.9000e-20
2.7178e+02	2.9264e-20
2.7190e+02	3.0260e-20
2.7201e+02	3.0956e-20
2.7212e+02	3.1572e-20
2.7223e+02	2.9752e-20
2.7235e+02	3.3240e-20
2.7246e+02	3.2704e-20
2.7257e+02	3.2616e-20
2.7268e+02	3.3100e-20
2.7280e+02	3.4740e-20
2.7291e+02	3.7396e-20
2.7302e+02	3.7724e-20
2.7313e+02	3.6788e-20
2.7325e+02	3.6500e-20
2.7336e+02	3.7732e-20
2.7347e+02	3.7368e-20
2.7358e+02	3.6752e-20
2.7370e+02	3.7340e-20
2.7381e+02	3.8476e-20
2.7392e+02	3.8164e-20
2.7403e+02	3.7124e-20
2.7415e+02	3.9320e-20
2.7426e+02	4.0200e-20
2.7437e+02	4.0200e-20
2.7448e+02	3.8604e-20
2.7460e+02	3.9820e-20
2.7471e+02	3.8908e-20
2.7482e+02	4.0372e-20
2.7493e+02	4.1208e-20
2.7505e+02	4.0320e-20
2.7516e+02	4.0500e-20
2.7527e+02	4.0452e-20
2.7538e+02	4.0244e-20
2.7550e+02	4.1300e-20
2.7561e+02	4.0948e-20
2.7572e+02	4.0064e-20
2.7583e+02	3.9544e-20
2.7595e+02	3.9400e-20
2.7606e+02	3.9592e-20
2.7617e+02	4.0340e-20
2.7628e+02	4.1204e-20
2.7639e+02	4.0996e-20
2.7651e+02	4.1756e-20
2.7662e+02	4.2372e-20
2.7673e+02	4.1140e-20
2.7684e+02	4.3348e-20
2.7696e+02	4.3008e-20
2.7707e+02	4.2624e-20
2.7718e+02	4.2448e-20
2.7729e+02	4.2736e-20
2.7740e+02	4.4000e-20
2.7752e+02	4.2800e-20
2.7763e+02	4.2920e-20
2.7774e+02	4.5560e-20
2.7785e+02	4.4840e-20
2.7797e+02	4.7184e-20
2.7808e+02	4.7296e-20
2.7819e+02	4.7836e-20
2.7830e+02	4.7660e-20
2.7841e+02	4.6828e-20
2.7853e+02	4.8532e-20
2.7864e+02	4.7952e-20
2.7875e+02	4.7600e-20
2.7886e+02	5.1560e-20
2.7898e+02	5.0504e-20
2.7909e+02	4.9408e-20
2.7920e+02	5.1140e-20
2.7931e+02	5.3748e-20
2.7942e+02	5.5352e-20
2.7954e+02	5.5448e-20
2.7965e+02	5.5300e-20
2.7976e+02	5.7492e-20
2.7987e+02	5.5204e-20
2.7998e+02	5.5352e-20
2.8010e+02	5.3080e-20
2.8021e+02	5.4472e-20
2.8032e+02	5.3944e-20
2.8043e+02	5.2976e-20
2.8054e+02	5.3680e-20
2.8066e+02	5.4168e-20
2.8077e+02	5.2928e-20
2.8088e+02	5.3688e-20
2.8099e+02	5.5624e-20
2.8110e+02	5.5240e-20
2.8122e+02	5.6164e-20
2.8133e+02	5.6500e-20
2.8144e+02	5.7852e-20
2.8155e+02	5.8540e-20
2.8166e+02	5.7364e-20
2.8178e+02	5.6068e-20
2.8189e+02	5.4568e-20
2.8200e+02	5.3600e-20
2.8211e+02	5.2632e-20
2.8222e+02	5.4704e-20
2.8234e+02	5.4896e-20
2.8245e+02	5.3800e-20
2.8256e+02	5.3200e-20
2.8267e+02	5.3992e-20
2.8278e+02	5.5040e-20
2.8289e+02	5.4128e-20
2.8301e+02	5.5920e-20
2.8312e+02	5.7240e-20
2.8323e+02	5.9148e-20
2.8334e+02	5.9500e-20
2.8345e+02	6.0640e-20
2.8357e+02	6.2856e-20
2.8368e+02	6.3164e-20
2.8379e+02	6.6516e-20
2.8390e+02	7.3220e-20
