Wavelength (nm)	Cross section (cm2)
2.5479e+02	9.5222e-19
2.5491e+02	1.0070e-18
2.5502e+02	9.7379e-19
2.5513e+02	9.2122e-19
2.5525e+02	9.3370e-19
2.5536e+02	9.3044e-19
2.5547e+02	9.4163e-19
2.5559e+02	9.0937e-19
2.5570e+02	9.0632e-19
2.5582e+02	9.1573e-19
2.5593e+02	9.1445e-19
2.5604e+02	9.0331e-19
2.5616e+02	8.8925e-19
2.5627e+02	8.9654e-19
2.5639e+02	9.1250e-19
2.5650e+02	9.1250e-19
2.5661e+02	9.2922e-19
2.5673e+02	9.1898e-19
2.5684e+02	9.2114e-19
2.5695e+02	9.1174e-19
2.5707e+02	9.0391e-19
2.5718e+02	8.9753e-19
2.5730e+02	8.9696e-19
2.5741e+02	9.0594e-19
2.5752e+02	9.0134e-19
2.5764e+02	9.0144e-19
2.5775e+02	9.0470e-19
2.5786e+02	9.1350e-19
2.5798e+02	9.0286e-19
2.5809e+02	9.0622e-19
2.5820e+02	9.1356e-19
2.5832e+02	9.1991e-19
2.5843e+02	9.1107e-19
2.5855e+02	9.0030e-19
2.5866e+02	8.9865e-19
2.5877e+02	8.8452e-19
2.5889e+02	9.0296e-19
2.5900e+02	9.1440e-19
2.5911e+02	9.0164e-19
2.5923e+02	8.9394e-19
2.5934e+02	9.0670e-19
2.5945e+02	8.9830e-19
2.5957e+02	8.8865e-19
2.5968e+02	8.8997e-19
2.5980e+02	8.9654e-19
2.5991e+02	8.9956e-19
2.6002e+02	8.9311e-19
2.6014e+02	9.0644e-19
2.6025e+02	8.9210e-19
2.6036e+02	9.0486e-19
2.6048e+02	8.9064e-19
2.6059e+02	8.9458e-19
2.6070e+02	8.9838e-19
2.6082e+02	8.9764e-19
2.6093e+02	8.9945e-19
2.6104e+02	8.9798e-19
2.6116e+02	8.8875e-19
2.6127e+02	8.9286e-19
2.6138e+02	8.8982e-19
2.6150e+02	8.9760e-19
2.6161e+02	8.7278e-19
2.6172e+02	8.8323e-19
2.6184e+02	8.8868e-19
2.6195e+02	8.9468e-19
2.6206e+02	8.8928e-19
2.6218e+02	8.7874e-19
2.6229e+02	8.7921e-19
2.6240e+02	8.8088e-19
2.6252e+02	8.7646e-19
2.6263e+02	8.7714e-19
2.6274e+02	8.8471e-19
2.6286e+02	8.9024e-19
2.6297e+02	8.8186e-19
2.6308e+02	8.8425e-19
2.6320e+02	8.8006e-19
2.6331e+02	8.8528e-19
2.6342e+02	8.9372e-19
2.6354e+02	8.8854e-19
2.6365e+02	8.8270e-19
2.6376e+02	8.6750e-19
2.6388e+02	8.6720e-19
2.6399e+02	8.6069e-19
2.6410e+02	8.5530e-19
2.6422e+02	8.4787e-19
2.6433e+02	8.5211e-19
2.6444e+02	9.3589e-19
2.6456e+02	9.2984e-19
2.6467e+02	8.4714e-19
2.6478e+02	8.5611e-19
2.6490e+02	8.6134e-19
2.6501e+02	8.6205e-19
2.6512e+02	8.6372e-19
2.6524e+02	8.5727e-19
2.6535e+02	8.7278e-19
2.6546e+02	8.6238e-19
2.6557e+02	8.5739e-19
2.6569e+02	8.5464e-19
2.6580e+02	8.4960e-19
2.6591e+02	8.4696e-19
2.6603e+02	8.4578e-19
2.6614e+02	8.4979e-19
2.6625e+02	8.5630e-19
2.6637e+02	8.4737e-19
2.6648e+02	8.6145e-19
2.6659e+02	8.5693e-19
2.6671e+02	8.5464e-19
2.6682e+02	8.4656e-19
2.6693e+02	8.3982e-19
2.6704e+02	8.4258e-19
2.6716e+02	8.3932e-19
2.6727e+02	8.1660e-19
2.6738e+02	8.2690e-19
2.6750e+02	8.3400e-19
2.6761e+02	8.2027e-19
2.6772e+02	8.2691e-19
2.6783e+02	8.2979e-19
2.6795e+02	8.4064e-19
2.6806e+02	8.3940e-19
2.6817e+02	8.2843e-19
2.6829e+02	8.2488e-19
2.6840e+02	8.2000e-19
2.6851e+02	8.0362e-19
2.6863e+02	8.1718e-19
2.6874e+02	8.0565e-19
2.6885e+02	8.1180e-19
2.6896e+02	8.0850e-19
2.6908e+02	8.0636e-19
2.6919e+02	8.0494e-19
2.6930e+02	8.0426e-19
2.6942e+02	7.9694e-19
2.6953e+02	7.8406e-19
2.6964e+02	7.9023e-19
2.6975e+02	7.8530e-19
2.6987e+02	8.2850e-19
2.6998e+02	7.9687e-19
2.7009e+02	7.8301e-19
2.7020e+02	7.7896e-19
2.7032e+02	7.6633e-19
2.7043e+02	7.7552e-19
2.7054e+02	7.9136e-19
2.7066e+02	7.7092e-19
2.7077e+02	7.6232e-19
2.7088e+02	7.7156e-19
2.7099e+02	7.8828e-19
2.7111e+02	7.7898e-19
2.7122e+02	7.6982e-19
2.7133e+02	7.6670e-19
2.7144e+02	7.6900e-19
2.7156e+02	7.7136e-19
2.7167e+02	6.9430e-19
2.7178e+02	6.0260e-19
2.7190e+02	7.4660e-19
2.7201e+02	7.5435e-19
2.7212e+02	7.7362e-19
2.7223e+02	7.6980e-19
2.7235e+02	7.6178e-19
2.7246e+02	7.6129e-19
2.7257e+02	7.6772e-19
2.7268e+02	7.7014e-19
2.7280e+02	7.6056e-19
2.7291e+02	7.4938e-19
2.7302e+02	7.4854e-19
2.7313e+02	7.5622e-19
2.7325e+02	7.4700e-19
2.7336e+02	7.4726e-19
2.7347e+02	7.3605e-19
2.7358e+02	7.3250e-19
2.7370e+02	7.3184e-19
2.7381e+02	7.2833e-19
2.7392e+02	7.2943e-19
2.7403e+02	7.3855e-19
2.7415e+02	7.3818e-19
2.7426e+02	7.2224e-19
2.7437e+02	7.3703e-19
2.7448e+02	7.1956e-19
2.7460e+02	6.3010e-19
2.7471e+02	6.9387e-19
2.7482e+02	7.3378e-19
2.7493e+02	6.8727e-19
2.7505e+02	6.2146e-19
2.7516e+02	6.1327e-19
2.7527e+02	6.1932e-19
2.7538e+02	6.2294e-19
2.7550e+02	6.1900e-19
2.7561e+02	6.0756e-19
2.7572e+02	6.0030e-19
2.7583e+02	6.0208e-19
2.7595e+02	6.1436e-19
2.7606e+02	6.0872e-19
2.7617e+02	5.9628e-19
2.7628e+02	5.9597e-19
2.7639e+02	5.8885e-19
2.7651e+02	5.8880e-19
2.7662e+02	5.9205e-19
2.7673e+02	5.9254e-19
2.7684e+02	5.9015e-19
2.7696e+02	5.9199e-19
2.7707e+02	5.8540e-19
2.7718e+02	5.7185e-19
2.7729e+02	5.6784e-19
2.7740e+02	5.7912e-19
2.7752e+02	5.7666e-19
2.7763e+02	5.6577e-19
2.7774e+02	5.7396e-19
2.7785e+02	5.8902e-19
2.7797e+02	5.8948e-19
2.7808e+02	5.7660e-19
2.7819e+02	5.7666e-19
2.7830e+02	5.8662e-19
2.7841e+02	5.8803e-19
2.7853e+02	5.7713e-19
2.7864e+02	5.7642e-19
2.7875e+02	5.7510e-19
2.7886e+02	5.7017e-19
2.7898e+02	5.6925e-19
2.7909e+02	5.6754e-19
2.7920e+02	5.6648e-19
2.7931e+02	5.5228e-19
2.7942e+02	5.4429e-19
2.7954e+02	5.5690e-19
2.7965e+02	5.5534e-19
2.7976e+02	5.4865e-19
2.7987e+02	5.4372e-19
2.7998e+02	5.4510e-19
2.8010e+02	5.4444e-19
2.8021e+02	5.4121e-19
2.8032e+02	5.3790e-19
2.8043e+02	5.3477e-19
2.8054e+02	5.3187e-19
2.8066e+02	5.3228e-19
2.8077e+02	5.3558e-19
2.8088e+02	5.2364e-19
2.8099e+02	5.2892e-19
2.8110e+02	5.1540e-19
2.8122e+02	5.3508e-19
2.8133e+02	5.2902e-19
2.8144e+02	5.2056e-19
2.8155e+02	5.2238e-19
2.8166e+02	5.2503e-19
2.8178e+02	5.2196e-19
2.8189e+02	5.2197e-19
2.8200e+02	5.1150e-19
2.8211e+02	5.0692e-19
2.8222e+02	5.1337e-19
2.8234e+02	5.1502e-19
2.8245e+02	5.0478e-19
2.8256e+02	5.0597e-19
2.8267e+02	5.1583e-19
2.8278e+02	5.1837e-19
2.8289e+02	5.1752e-19
2.8301e+02	5.0734e-19
2.8312e+02	5.0673e-19
2.8323e+02	5.1510e-19
2.8334e+02	5.7164e-19
2.8345e+02	5.2982e-19
2.8357e+02	4.8854e-19
2.8368e+02	4.9166e-19
2.8379e+02	4.9848e-19
2.8390e+02	5.0370e-19
2.8401e+02	4.9327e-19
2.8412e+02	4.9292e-19
2.8424e+02	4.8775e-19
2.8435e+02	4.9058e-19
2.8446e+02	4.8433e-19
2.8457e+02	4.7204e-19
2.8468e+02	4.7318e-19
2.8479e+02	4.7742e-19
2.8491e+02	4.6074e-19
2.8502e+02	4.5298e-19
2.8513e+02	4.5989e-19
2.8524e+02	4.5302e-19
2.8535e+02	4.8392e-19
2.8546e+02	4.7052e-19
2.8558e+02	4.6645e-19
2.8569e+02	4.6418e-19
2.8580e+02	4.5576e-19
2.8591e+02	4.4849e-19
2.8602e+02	4.4355e-19
2.8613e+02	4.4998e-19
2.8625e+02	4.4710e-19
2.8636e+02	4.4816e-19
2.8647e+02	4.4518e-19
2.8658e+02	4.3607e-19
2.8669e+02	4.4117e-19
2.8680e+02	4.4430e-19
2.8691e+02	4.3790e-19
2.8703e+02	4.4255e-19
2.8714e+02	4.3806e-19
2.8725e+02	4.3410e-19
2.8736e+02	4.2794e-19
2.8747e+02	4.2596e-19
2.8758e+02	4.3341e-19
2.8770e+02	4.2712e-19
2.8781e+02	4.1928e-19
2.8792e+02	4.1958e-19
2.8803e+02	4.1900e-19
2.8814e+02	4.1114e-19
2.8825e+02	4.1140e-19
2.8836e+02	4.2645e-19
2.8848e+02	4.2170e-19
2.8859e+02	4.1471e-19
2.8870e+02	4.0938e-19
2.8881e+02	4.1589e-19
2.8892e+02	4.1850e-19
2.8903e+02	4.0998e-19
2.8914e+02	4.2101e-19
2.8925e+02	4.2330e-19
2.8937e+02	4.2474e-19
2.8948e+02	4.0792e-19
2.8959e+02	4.0016e-19
2.8970e+02	4.0578e-19
2.8981e+02	4.0873e-19
2.8992e+02	4.0246e-19
2.9003e+02	3.9580e-19
2.9015e+02	3.9830e-19
2.9026e+02	3.9849e-19
2.9037e+02	3.8740e-19
2.9048e+02	3.9186e-19
2.9059e+02	3.9359e-19
2.9070e+02	3.9234e-19
2.9081e+02	3.8880e-19
2.9092e+02	3.8891e-19
2.9104e+02	3.8926e-19
2.9115e+02	3.7904e-19
2.9126e+02	3.7736e-19
2.9137e+02	3.7472e-19
2.9148e+02	3.8241e-19
2.9159e+02	3.7159e-19
2.9170e+02	3.7370e-19
2.9181e+02	3.7350e-19
2.9192e+02	3.7273e-19
2.9204e+02	3.7631e-19
2.9215e+02	3.6616e-19
2.9226e+02	3.6423e-19
2.9237e+02	3.8878e-19
2.9248e+02	3.6546e-19
2.9259e+02	3.7585e-19
2.9270e+02	3.7744e-19
2.9281e+02	3.7354e-19
2.9293e+02	3.6897e-19
2.9304e+02	3.6332e-19
2.9315e+02	3.6028e-19
2.9326e+02	3.5860e-19
2.9337e+02	3.5420e-19
2.9348e+02	3.6324e-19
2.9359e+02	3.5420e-19
2.9370e+02	3.5420e-19
2.9381e+02	3.5028e-19
2.9392e+02	3.4372e-19
2.9404e+02	3.4692e-19
2.9415e+02	3.5200e-19
2.9426e+02	3.5512e-19
2.9437e+02	3.4544e-19
2.9448e+02	3.6852e-19
2.9459e+02	3.6364e-19
2.9470e+02	3.4380e-19
2.9481e+02	3.3588e-19
2.9492e+02	3.3900e-19
2.9503e+02	3.3948e-19
2.9514e+02	3.4040e-19
2.9526e+02	3.3704e-19
2.9537e+02	3.4848e-19
2.9548e+02	3.3556e-19
2.9559e+02	3.2508e-19
2.9570e+02	3.2560e-19
2.9581e+02	3.3520e-19
2.9592e+02	3.3688e-19
2.9603e+02	3.2576e-19
2.9614e+02	3.2368e-19
2.9625e+02	3.1400e-19
2.9636e+02	3.2368e-19
2.9648e+02	3.1744e-19
2.9659e+02	3.2824e-19
2.9670e+02	3.4320e-19
2.9681e+02	3.3752e-19
2.9692e+02	3.2076e-19
2.9703e+02	3.1716e-19
2.9714e+02	3.2364e-19
2.9725e+02	3.2100e-19
2.9736e+02	3.2012e-19
2.9747e+02	3.1772e-19
2.9758e+02	3.1956e-19
2.9769e+02	3.2256e-19
2.9780e+02	3.1880e-19
2.9792e+02	3.1352e-19
2.9803e+02	3.1728e-19
2.9814e+02	3.1536e-19
2.9825e+02	3.1800e-19
2.9836e+02	3.2768e-19
2.9847e+02	3.2368e-19
2.9858e+02	3.1624e-19
2.9869e+02	3.2080e-19
2.9880e+02	3.2120e-19
2.9891e+02	3.1100e-19
2.9902e+02	3.0828e-19
2.9913e+02	2.9416e-19
2.9924e+02	2.9768e-19
2.9935e+02	2.9800e-19
2.9946e+02	3.0684e-19
2.9957e+02	3.0932e-19
2.9969e+02	3.1164e-19
2.9980e+02	3.0540e-19
2.9991e+02	2.9632e-19
3.0002e+02	3.1112e-19
3.0013e+02	3.1676e-19
3.0024e+02	3.1148e-19
3.0035e+02	3.1180e-19
3.0046e+02	3.0928e-19
3.0057e+02	3.0184e-19
3.0068e+02	3.0448e-19
3.0079e+02	3.0888e-19
3.0090e+02	2.9940e-19
3.0101e+02	3.0564e-19
3.0112e+02	3.1268e-19
3.0123e+02	3.0040e-19
3.0134e+02	2.9584e-19
3.0145e+02	3.0160e-19
3.0156e+02	2.9928e-19
3.0167e+02	2.9668e-19
3.0178e+02	3.0500e-19
3.0190e+02	3.0580e-19
3.0201e+02	3.0940e-19
3.0212e+02	3.1380e-19
3.0223e+02	3.1736e-19
3.0234e+02	3.0432e-19
3.0245e+02	3.0140e-19
3.0256e+02	2.9964e-19
3.0267e+02	2.9780e-19
3.0278e+02	2.9740e-19
3.0289e+02	2.8672e-19
3.0300e+02	2.9200e-19
3.0311e+02	3.0168e-19
3.0322e+02	3.0908e-19
3.0333e+02	3.1292e-19
3.0344e+02	3.1036e-19
3.0355e+02	3.0420e-19
3.0366e+02	3.0028e-19
3.0377e+02	2.9812e-19
3.0388e+02	2.8296e-19
3.0399e+02	2.8208e-19
3.0410e+02	3.0520e-19
3.0421e+02	3.1304e-19
3.0432e+02	3.1400e-19
3.0443e+02	3.0828e-19
3.0454e+02	3.0292e-19
3.0465e+02	3.0680e-19
3.0476e+02	3.0648e-19
3.0487e+02	3.1176e-19
3.0498e+02	3.0528e-19
3.0509e+02	2.9248e-19
3.0520e+02	2.8500e-19
3.0531e+02	2.8732e-19
3.0542e+02	2.8804e-19
3.0553e+02	2.8268e-19
3.0564e+02	2.8488e-19
3.0575e+02	2.6200e-19
3.0586e+02	2.7696e-19
3.0597e+02	2.7444e-19
3.0608e+02	2.9028e-19
3.0619e+02	3.0624e-19
3.0630e+02	3.0760e-19
3.0641e+02	2.8868e-19
3.0652e+02	2.6452e-19
3.0663e+02	3.0372e-19
3.0674e+02	2.9756e-19
3.0685e+02	2.9940e-19
3.0696e+02	2.8368e-19
3.0707e+02	2.7264e-19
3.0718e+02	2.8408e-19
3.0729e+02	2.9976e-19
3.0740e+02	2.9320e-19
3.0751e+02	2.8624e-19
3.0762e+02	2.8888e-19
3.0773e+02	2.9572e-19
3.0784e+02	2.8836e-19
3.0795e+02	2.8980e-19
3.0806e+02	3.0212e-19
3.0817e+02	3.0120e-19
3.0828e+02	2.8728e-19
3.0839e+02	3.0052e-19
3.0850e+02	2.7500e-19
3.0861e+02	2.8380e-19
3.0872e+02	3.0628e-19
3.0883e+02	3.0212e-19
