Wavelength (nm)	Cross section (cm2)
2.5422e+02	3.2303e-19
2.5434e+02	3.2141e-19
2.5445e+02	3.1993e-19
2.5456e+02	3.1844e-19
2.5468e+02	3.1682e-19
2.5479e+02	3.1534e-19
2.5491e+02	3.1372e-19
2.5502e+02	3.1223e-19
2.5513e+02	3.1075e-19
2.5525e+02	3.0912e-19
2.5536e+02	3.0764e-19
2.5547e+02	3.0616e-19
2.5559e+02	3.0453e-19
2.5570e+02	3.0305e-19
2.5582e+02	3.0143e-19
2.5593e+02	2.9994e-19
2.5604e+02	2.9852e-19
2.5616e+02	2.9708e-19
2.5627e+02	2.9576e-19
2.5639e+02	2.9432e-19
2.5650e+02	2.9300e-19
2.5661e+02	2.9168e-19
2.5673e+02	2.9024e-19
2.5684e+02	2.8892e-19
2.5695e+02	2.8760e-19
2.5707e+02	2.8616e-19
2.5718e+02	2.8484e-19
2.5730e+02	2.8340e-19
2.5741e+02	2.8208e-19
2.5752e+02	2.8076e-19
2.5764e+02	2.7932e-19
2.5775e+02	2.7800e-19
2.5786e+02	2.7668e-19
2.5798e+02	2.7524e-19
2.5809e+02	2.7397e-19
2.5820e+02	2.7270e-19
2.5832e+02	2.7132e-19
2.5843e+02	2.7005e-19
2.5855e+02	2.6867e-19
2.5866e+02	2.6741e-19
2.5877e+02	2.6615e-19
2.5889e+02	2.6477e-19
2.5900e+02	2.6350e-19
2.5911e+02	2.6223e-19
2.5923e+02	2.6085e-19
2.5934e+02	2.5959e-19
2.5945e+02	2.5833e-19
2.5957e+02	2.5695e-19
2.5968e+02	2.5568e-19
2.5980e+02	2.5430e-19
2.5991e+02	2.5303e-19
2.6002e+02	2.5179e-19
2.6014e+02	2.5053e-19
2.6025e+02	2.4937e-19
2.6036e+02	2.4822e-19
2.6048e+02	2.4696e-19
2.6059e+02	2.4581e-19
2.6070e+02	2.4465e-19
2.6082e+02	2.4339e-19
2.6093e+02	2.4223e-19
2.6104e+02	2.4108e-19
2.6116e+02	2.3982e-19
2.6127e+02	2.3867e-19
2.6138e+02	2.3751e-19
2.6150e+02	2.3625e-19
2.6161e+02	2.3509e-19
2.6172e+02	2.3394e-19
2.6184e+02	2.3268e-19
2.6195e+02	2.3153e-19
2.6206e+02	2.3040e-19
2.6218e+02	2.2920e-19
2.6229e+02	2.2810e-19
2.6240e+02	2.2700e-19
2.6252e+02	2.2580e-19
2.6263e+02	2.2470e-19
2.6274e+02	2.2360e-19
2.6286e+02	2.2240e-19
2.6297e+02	2.2130e-19
2.6308e+02	2.2020e-19
2.6320e+02	2.1900e-19
2.6331e+02	2.1790e-19
2.6342e+02	2.1680e-19
2.6354e+02	2.1560e-19
2.6365e+02	2.1450e-19
2.6376e+02	2.1340e-19
2.6388e+02	2.1220e-19
2.6399e+02	2.1110e-19
2.6410e+02	2.1015e-19
2.6422e+02	2.0913e-19
2.6433e+02	2.0820e-19
2.6444e+02	2.0726e-19
2.6456e+02	2.0624e-19
2.6467e+02	2.0530e-19
2.6478e+02	2.0437e-19
2.6490e+02	2.0335e-19
2.6501e+02	2.0242e-19
2.6512e+02	2.0148e-19
2.6524e+02	2.0046e-19
2.6535e+02	1.9952e-19
2.6546e+02	1.9859e-19
2.6557e+02	1.9766e-19
2.6569e+02	1.9664e-19
2.6580e+02	1.9570e-19
2.6591e+02	1.9476e-19
2.6603e+02	1.9376e-19
2.6614e+02	1.9288e-19
2.6625e+02	1.9200e-19
2.6637e+02	1.9104e-19
2.6648e+02	1.9016e-19
2.6659e+02	1.8928e-19
2.6671e+02	1.8832e-19
2.6682e+02	1.8744e-19
2.6693e+02	1.8656e-19
2.6704e+02	1.8568e-19
2.6716e+02	1.8472e-19
