Wavelength (nm)	Cross section (cm2)
2.4014e+02	4.2580e-19
2.4026e+02	4.2220e-19
2.4037e+02	4.1890e-19
2.4049e+02	4.1530e-19
2.4060e+02	4.1200e-19
2.4072e+02	4.0840e-19
2.4083e+02	4.0510e-19
2.4095e+02	4.0150e-19
2.4106e+02	3.9820e-19
2.4118e+02	3.9460e-19
2.4129e+02	3.9130e-19
2.4141e+02	3.8770e-19
2.4152e+02	3.8440e-19
2.4164e+02	3.8080e-19
2.4175e+02	3.7750e-19
2.4187e+02	3.7390e-19
2.4198e+02	3.7060e-19
2.4210e+02	3.6750e-19
2.4221e+02	3.6475e-19
2.4233e+02	3.6175e-19
2.4244e+02	3.5900e-19
2.4256e+02	3.5600e-19
2.4267e+02	3.5325e-19
2.4279e+02	3.5025e-19
2.4290e+02	3.4750e-19
2.4302e+02	3.4450e-19
2.4313e+02	3.4175e-19
2.4325e+02	3.3875e-19
2.4336e+02	3.3600e-19
2.4347e+02	3.3325e-19
2.4359e+02	3.3025e-19
2.4370e+02	3.2750e-19
2.4382e+02	3.2450e-19
2.4393e+02	3.2175e-19
2.4405e+02	3.1887e-19
2.4416e+02	3.1640e-19
2.4428e+02	3.1370e-19
2.4439e+02	3.1123e-19
2.4451e+02	3.0853e-19
2.4462e+02	3.0605e-19
2.4474e+02	3.0335e-19
2.4485e+02	3.0088e-19
2.4497e+02	2.9818e-19
2.4508e+02	2.9570e-19
2.4519e+02	2.9323e-19
2.4531e+02	2.9052e-19
2.4542e+02	2.8805e-19
2.4554e+02	2.8535e-19
2.4565e+02	2.8287e-19
2.4577e+02	2.8017e-19
2.4588e+02	2.7770e-19
2.4600e+02	2.7500e-19
2.4611e+02	2.7280e-19
2.4623e+02	2.7040e-19
2.4634e+02	2.6820e-19
2.4645e+02	2.6600e-19
2.4657e+02	2.6360e-19
2.4668e+02	2.6140e-19
2.4680e+02	2.5900e-19
2.4691e+02	2.5680e-19
2.4703e+02	2.5440e-19
2.4714e+02	2.5220e-19
2.4726e+02	2.4980e-19
2.4737e+02	2.4760e-19
2.4749e+02	2.4520e-19
2.4760e+02	2.4300e-19
2.4771e+02	2.4080e-19
2.4783e+02	2.3840e-19
2.4794e+02	2.3620e-19
2.4806e+02	2.3395e-19
2.4817e+02	2.3203e-19
2.4829e+02	2.2993e-19
2.4840e+02	2.2800e-19
2.4851e+02	2.2608e-19
2.4863e+02	2.2398e-19
2.4874e+02	2.2205e-19
2.4886e+02	2.1995e-19
2.4897e+02	2.1803e-19
2.4909e+02	2.1592e-19
2.4920e+02	2.1400e-19
2.4931e+02	2.1207e-19
2.4943e+02	2.0997e-19
2.4954e+02	2.0805e-19
2.4966e+02	2.0595e-19
2.4977e+02	2.0402e-19
2.4989e+02	2.0193e-19
2.5000e+02	2.0000e-19
2.5011e+02	1.9835e-19
2.5023e+02	1.9655e-19
2.5034e+02	1.9490e-19
2.5046e+02	1.9310e-19
2.5057e+02	1.9145e-19
2.5069e+02	1.8965e-19
2.5080e+02	1.8800e-19
2.5091e+02	1.8635e-19
2.5103e+02	1.8455e-19
2.5114e+02	1.8290e-19
2.5126e+02	1.8110e-19
2.5137e+02	1.7945e-19
2.5149e+02	1.7765e-19
2.5160e+02	1.7600e-19
2.5171e+02	1.7435e-19
2.5183e+02	1.7255e-19
2.5194e+02	1.7090e-19
2.5206e+02	1.6925e-19
2.5217e+02	1.6788e-19
2.5228e+02	1.6650e-19
2.5240e+02	1.6500e-19
2.5251e+02	1.6363e-19
2.5263e+02	1.6213e-19
2.5274e+02	1.6075e-19
2.5285e+02	1.5938e-19
2.5297e+02	1.5788e-19
2.5308e+02	1.5650e-19
2.5320e+02	1.5500e-19
2.5331e+02	1.5362e-19
2.5342e+02	1.5225e-19
2.5354e+02	1.5075e-19
2.5365e+02	1.4937e-19
2.5377e+02	1.4787e-19
2.5388e+02	1.4650e-19
2.5399e+02	1.4512e-19
2.5411e+02	1.4379e-19
2.5422e+02	1.4258e-19
2.5434e+02	1.4126e-19
2.5445e+02	1.4005e-19
2.5456e+02	1.3884e-19
2.5468e+02	1.3752e-19
2.5479e+02	1.3631e-19
2.5491e+02	1.3499e-19
2.5502e+02	1.3378e-19
2.5513e+02	1.3257e-19
2.5525e+02	1.3125e-19
2.5536e+02	1.3004e-19
2.5547e+02	1.2883e-19
2.5559e+02	1.2751e-19
2.5570e+02	1.2630e-19
2.5582e+02	1.2498e-19
2.5593e+02	1.2377e-19
2.5604e+02	1.2260e-19
2.5616e+02	1.2140e-19
2.5627e+02	1.2030e-19
2.5639e+02	1.1910e-19
2.5650e+02	1.1800e-19
2.5661e+02	1.1690e-19
2.5673e+02	1.1570e-19
2.5684e+02	1.1460e-19
2.5695e+02	1.1350e-19
2.5707e+02	1.1230e-19
2.5718e+02	1.1120e-19
2.5730e+02	1.1000e-19
2.5741e+02	1.0890e-19
2.5752e+02	1.0780e-19
2.5764e+02	1.0660e-19
2.5775e+02	1.0550e-19
2.5786e+02	1.0440e-19
2.5798e+02	1.0320e-19
2.5809e+02	1.0224e-19
2.5820e+02	1.0130e-19
2.5832e+02	1.0028e-19
2.5843e+02	9.9345e-20
2.5855e+02	9.8325e-20
2.5866e+02	9.7390e-20
2.5877e+02	9.6455e-20
2.5889e+02	9.5435e-20
2.5900e+02	9.4500e-20
2.5911e+02	9.3565e-20
2.5923e+02	9.2545e-20
2.5934e+02	9.1610e-20
2.5945e+02	9.0675e-20
2.5957e+02	8.9655e-20
2.5968e+02	8.8720e-20
2.5980e+02	8.7700e-20
2.5991e+02	8.6765e-20
2.6002e+02	8.5870e-20
2.6014e+02	8.5090e-20
2.6025e+02	8.4375e-20
2.6036e+02	8.3660e-20
2.6048e+02	8.2880e-20
2.6059e+02	8.2165e-20
2.6070e+02	8.1450e-20
2.6082e+02	8.0670e-20
2.6093e+02	7.9955e-20
2.6104e+02	7.9240e-20
2.6116e+02	7.8460e-20
2.6127e+02	7.7745e-20
2.6138e+02	7.7030e-20
2.6150e+02	7.6250e-20
2.6161e+02	7.5535e-20
2.6172e+02	7.4820e-20
2.6184e+02	7.4040e-20
